date,group name,rank,last rank,up down,total messages,Datedifference,"count of the hashtag ""#FIVE""","count of the hashtag ""#FOUR""","count of the hashtag ""#Three""","count of the hashtag ""#SceneType""",score,total titles
2025-08-17,Jade Valentine,248,247,-1,78,143,0,1,0,1,13.054016335190697,1
2025-08-17,Rose Carter,249,249,0,54,164,0,1,0,1,12.734247595898005,1
2025-08-17,Ivi Rein,250,250,0,126,177,0,1,0,1,12.624636795491973,1
2025-08-17,Serena Sterling,251,251,0,263,194,0,1,0,1,12.524877863722349,1
2025-08-17,Kristina Grace,252,252,0,270,195,0,1,0,1,12.517932775551916,1
2025-08-17,Kaira Love,253,253,0,219,198,0,1,0,1,12.423867242529631,1
2025-08-17,Talia Mint,254,254,0,69,194,0,1,0,1,12.327562973567753,1
2025-08-17,Alice Flore,255,255,0,237,208,0,1,0,1,12.301527833567363,1
2025-08-17,Fiona Frost,256,256,0,135,275,0,1,1,2,12.25545021337371,2
2025-08-17,Siri Dahl,257,257,0,47,440,0,1,3,4,11.845271446375051,7
2025-08-17,Stella Sedona,258,258,0,52,230,0,1,0,1,11.803943379578609,1
2025-08-17,Sandrillon,259,259,0,102,237,0,1,0,1,11.756344849448226,1
2025-08-17,Melena Maria Rya,260,260,0,22,244,0,1,0,1,11.576525001173012,1
2025-08-17,Silvia Soprano,261,261,0,94,255,0,1,0,1,11.495043595984981,1
2025-08-17,Melissa Stratton,262,262,0,134,263,0,1,0,1,11.423209497619073,1
2025-08-17,Sara Heat,263,263,0,195,271,0,1,0,0,11.372734227568868,1
2025-08-17,Zuzu Sweet,264,263,-1,208,272,0,1,0,1,11.371891661774349,1
2025-08-17,Sara Latina,265,265,0,18,275,0,1,0,1,11.136451027043359,1
2025-08-17,KRISSY LYNN,266,266,0,227,363,0,1,1,2,11.111328833545619,2
2025-08-17,Graycee Baybee,267,267,0,239,367,0,1,1,2,11.067275087861445,2
2025-08-17,Stella Cox,268,268,0,196,368,0,1,1,2,11.009475646558382,2
2025-08-17,April Olsen,269,269,0,150,368,0,1,1,2,10.962689641676366,2
2025-08-17,Laura Bentley,270,270,0,88,299,0,1,0,1,10.870094378813004,1
2025-08-17,Amber Maddie,271,271,0,104,19,0,0,1,1,10.824483102335838,1
2025-08-17,Dharma Jones,272,272,0,65,304,0,1,0,1,10.776377888326987,1
2025-08-17,Remy LaCroix,273,273,0,236,327,0,1,0,1,10.626811731033545,1
2025-08-17,Kitty Lovedream,274,274,0,122,319,0,1,0,1,10.623381386763164,1
2025-08-17,Sophia Burns,275,275,0,14,313,0,1,0,1,10.597924169650694,1
2025-08-17,Julia Morozzi,276,276,0,162,331,0,1,0,0,10.495288497961248,1
2025-08-17,Isabella D,277,277,0,151,331,0,1,0,0,10.48410054027207,1
2025-08-17,Renee Rose,278,278,0,161,333,0,1,0,1,10.466142015680592,1
2025-08-17,Freya von Doom,279,279,0,368,359,0,1,0,1,10.310996899815636,1
2025-08-17,Violet Joly,280,280,0,199,368,0,1,0,1,10.012526907746341,1
2025-08-17,Lucky Bee,281,281,0,174,367,0,1,0,1,10.001164428789028,1
2025-08-17,Anika Now,282,281,-1,198,85,0,0,1,1,9.991819244031085,1
2025-08-17,Hazel Moore,283,282,-1,48,359,0,1,0,1,9.985529039766817,1
2025-08-17,Valeria Borghese,284,284,0,11,359,0,1,0,1,9.947896818448672,1
2025-08-17,Chrissy,285,285,0,9,359,0,1,0,1,9.945862644323366,1
2025-08-17,SAHARA SKYE,286,286,0,199,375,0,1,0,1,9.91407402448333,1
2025-08-17,Lulu Love,287,287,0,31,363,0,1,0,1,9.911979769265717,1
2025-08-17,Alika Alba,288,288,0,161,375,0,1,0,1,9.875424716102533,1
2025-08-17,Claudia Bavel,289,290,1,111,374,0,1,0,1,9.838635060578907,4
2025-08-17,Nina Nix,290,289,-1,28,368,0,1,0,1,9.838605020032752,1
2025-08-17,Rayveness,291,292,1,101,374,0,1,0,2,9.828464189952381,1
2025-08-17,Blue Wave,292,291,-1,13,368,0,1,0,1,9.823348714092965,1
2025-08-17,Stella Bliss,293,293,0,67,373,0,1,0,1,9.807947927431195,1
2025-08-17,Christy Love,294,294,0,83,375,0,1,0,1,9.796091925215634,1
2025-08-17,RAVEN LANE,295,295,0,72,375,0,1,0,1,9.784903967526455,1
2025-08-17,Mina Kali,296,296,0,117,408,0,1,0,2,9.366537864248773,1
2025-08-17,Keira Love,297,297,0,153,129,0,0,1,1,9.327203631415658,1
2025-08-17,Serina Gomez,298,298,0,136,419,0,1,0,1,9.231150844740158,1
2025-08-17,Eliza Ibarra,299,299,0,78,419,0,1,0,1,9.17215979510631,1
2025-08-17,Cherry X,300,300,0,5,421,0,1,0,1,9.069783044314669,1
2025-08-17,Elsa Violet,301,301,0,135,431,0,1,0,1,9.061357386369487,1
2025-08-17,Aurelly Rebel,302,302,0,156,151,0,0,1,1,9.020831545205587,1
2025-08-17,KittyKristen,303,303,0,2,82,0,0,0,0,8.834664272578188,1
2025-08-17,Penny Flame,304,304,0,34,463,0,1,0,1,8.508561269553535,1
2025-08-17,Juju la bretonne,305,305,0,99,116,0,0,0,0,8.455121998949439,1
2025-08-17,Maddy Nelson,306,306,0,162,206,0,0,1,0,8.253375699086424,1
2025-08-17,HD,307,307,0,44,151,0,0,0,5,7.9069177941885,4
2025-08-17,PARADISEHILL.cc CHAT 18+,308,308,0,2,154,0,0,0,0,7.822006044730087,0
2025-08-17,Stacy Bloom,309,309,0,81,248,0,0,1,1,7.580274347433508,4
2025-08-17,Sammyyy Stonerrr,310,310,0,105,258,0,0,1,1,7.4640374608471545,1
2025-08-17,Ava Austen,311,311,0,8,187,0,0,0,0,7.363973546008956,1
2025-08-17,morgpie,312,312,0,23,213,0,0,0,0,7.013547714114709,0
2025-08-17,Mira Wair,313,313,0,3,213,0,0,0,0,6.993205972861658,1
2025-08-17,Public,314,314,0,52,226,0,0,0,0,6.860202170014614,0
2025-08-17,TUSHY,315,315,0,12,226,0,0,0,0,6.819518687508511,2
2025-08-17,Georgia Jones,316,316,0,142,313,0,0,1,1,6.728111313670222,1
2025-08-17,Jillian Janson,317,317,0,114,317,0,0,1,1,6.6433740854799455,1
2025-08-17,Anna De Ville,318,318,0,235,333,0,0,1,1,6.5414064583168825,1
2025-08-17,Lily Love,319,319,0,3,248,0,0,0,0,6.500941556546608,1
2025-08-17,Mya Lorenn,320,320,0,6,271,0,0,0,0,6.1805047727275335,1
2025-08-17,Merida Sat,321,321,0,138,359,0,0,1,1,6.0770668754055475,1
2025-08-17,Chloe Temple,322,322,0,118,363,0,0,1,1,6.000466343716489,1
2025-08-17,Lindsay Lee,323,323,0,136,368,0,0,1,1,5.94845042279923,1
2025-08-17,Nika A,324,324,0,130,368,0,0,1,1,5.942347900423314,1
2025-08-17,Catherine Knight,325,325,0,101,368,0,0,1,1,5.9128523756063895,1
2025-08-17,Valkiria Lapiedra,326,326,0,101,368,0,0,1,1,5.9128523756063895,1
2025-08-17,Juilie Robbie,327,327,0,101,368,0,0,1,1,5.9128523756063895,1
2025-08-17,Kallie Taylor,328,328,0,78,368,0,0,1,1,5.889459373165381,1
2025-08-17,Renata Foxx,329,329,0,33,368,0,0,1,1,5.843690455346016,1
2025-08-17,Riley Jacobs,330,330,0,7,367,0,0,1,1,5.8313108893260495,1
2025-08-17,Madison Moores,331,331,0,4,298,0,0,0,0,5.798723763159189,1
2025-08-17,cristina plaza aa,332,332,0,25,318,0,0,0,0,5.538788639294866,1
2025-08-17,Cindy Shine,333,333,0,37,409,0,0,1,1,5.271106201627568,1
2025-08-17,Eva Cela,334,334,0,9,358,0,0,0,0,4.959927341932368,1
2025-08-17,Alana Cruise,335,335,0,2,368,0,0,0,0,4.812160756403786,1
2025-08-17,Lauren Phillips,336,336,0,160,710,0,0,0,0,0.1627339300244101,1
